type, player, team, period, time, assist
goal, null, garner, null, null, null
goal, null, garner, null, null, null
goal, null, garner, null, null, null
goal, null, garner, null, null, null
goal, null, garner, null, null, null
goal, null, garner, null, null, null
goal, null, garner, null, null, null
goal, null, garner, null, null, null
goal, null, garner, null, null, null
goal, null, garner, null, null, null
goal, null, garner, null, null, null
goal, null, garner, null, null, null
null, null, newlowell, null, null, null
